eq_id;methode;variable_predite;unite_sortie;essence_id;essence_nom;essence_code;region_validite;variable_entree;unite_entree;type_formule;formule_explicite;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;domaine_validite;remarques;source_reference;
algan_vbo_pab;Algan;V_bois_oeuvre;m^3;;Epicea;PICEA_ABIES;France;htot,dbh;htot_m,dbh_cm;ALGAN_VBO;VBO=a*dbh^2*htot;0,33;;;;;;dbh ≥15 cm;;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
algan_vbo_agl;Algan;V_bois_oeuvre;m^3;;Aulne;ALNUS_GLUTINOSA;France;htot,dbh;htot_m,dbh_cm;ALGAN_VBO;VBO=a*dbh^2*htot;0,33;;;;;;;s'applique aux feuillus a_ houppier peu développé vo;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
algan_vbo_pav;Algan;V_bois_oeuvre;m^3;;Merisier;PRUNUS_AVIUM;France;htot,dbh;htot_m,dbh_cm;ALGAN_VBO;VBO=a*dbh^2*htot;0,33;;;;;;;s'applique aux feuillus a_ houppier peu développé vo;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
algan_vbo_bsp;Algan;V_bois_oeuvre;m^3;;Bouleau;BETULA_SP;France;htot,dbh;htot_m,dbh_cm;ALGAN_VBO;VBO=a*dbh^2*htot;0,33;;;;;;;s'applique aux feuillus a_ houppier peu développé vo;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
bouvard_vta_qsp;BOUVARD;V_total_aerien;m^3;;Chêne;QUERCUS_SP;France;htot,dbh;htot_m,dbh_cm;BOUVARD_VTA;VTA=a*dbh^2*htot;0,5;;;;;;;s'applique aux che_nes de taillis-sous-futaie ;Massenet J.-Y., 2006. Chapitre IV_: estimation du volume. Lycée forestier – Château de Mesnières – 76270 MESNIERES-EN-BRAY.;  
rondeux_vtot_lsp;RONDEUX;V_total;m^3;;Mélèze;LARIX_SP;Wallonie;c130,htot;c130_cm, htot_m;RONDEUX_VTOT;VTOT=a*c130^2*htot;0;;;;;;c130≤70 cm;"Ils peuvent
être utilisés pour cuber précisément (sans biais) les bois de peuplements de mé-
lèze situés en Ardenne. Ils sont destinés non seulement à estimer plus concrète-
ment le volume des bois prélevés en première éclaircie";Pauwels D. & Rondeux J., 2002. Tarifs de cubage pour les petits bois de mélèze (Larix sp.) en Ardenne Belge 6026(25).;  
rondeux_vc22_lsp;RONDEUX;V_C22;m^3;;Mélèze;LARIX_SP;Wallonie;c130,htot;c130_cm, htot_m;RONDEUX_VTOT;VC22=a+b*c130^2*htot;-0,01;0;;;;;c130≤70 cm;"Ils peuvent
être utilisés pour cuber précisément (sans biais) les bois de peuplements de mé-
lèze situés en Ardenne. Ils sont destinés non seulement à estimer plus concrète-
ment le volume des bois prélevés en première éclaircie";Pauwels D. & Rondeux J., 2002. Tarifs de cubage pour les petits bois de mélèze (Larix sp.) en Ardenne Belge 6026(25).;  
biomasse_aerienne;CNIEFEB;biomasse aerienne;tMS;;coniferes;;France;Vc,FEB,di;Vc_m^3,di_tMS/m^3;;Ba=Vc*a*di;1,3;;;;;;;;;  
biomasse_aerienne;CNIEFEB;biomasse aerienne;tMS;;feuillus;;France;Vc,FEB,di;Vc_m^3,di_tMS/m^3;;Ba=Vc*b*di;1,56;;;;;;;;;  
biomasse_racinaire;CNIEFEB;biomasse racinaire;tMS;;tous;;France;Ba;Ba_tMS;;Br=exp(a+b*ln(Ba)+c;-1,0587;0,8836;0,284;;;;;;;  
biomasse_totale;CNIEFEB;biomasse totale;tMS;;tous;;France;Ba,Br;Ba_tMS,Br_tMS;;B=Ba+Br;;;;;;;;;;  
co2;CNIEFEB;stock de CO2;teqCO2;;tous;;France;Ba,Br;Ba_tMS,Br_tMS;;Sef=(Ba+Br)*a*b;0,475;3,666666667;;;;;;;;  
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;  
;;;;;;;;;;;;;;;;;;;;;  
tarif_1_qsp;Dagnelie;V_C22;m^3;;Chêne;QUERCUS_SP;Wallonie;c130;c130_cm;TARIF_1;VC22=a+b*c130+c*c130^2+d*c130^3;0,19546*10^-1;-0,0029588;0,11074*10^-3;-3,7076E-08;;;c130 [36-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;  
tarif_1G_qsp;Dagnelie;V_C22;m^3;;Chêne;QUERCUS_SP;Wallonie;c130,hdom;c130_cm, hdom_m;TARIF_1G;VC22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0,28822*10^-1;-0,00047161;0,17362*10^-4;-1,2337E-08;-0,0027284;0,31330*10^-5;c130 [36-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_2_qsp;Dagnelie;V_C22;m^3;;Chêne;QUERCUS_SP;Wallonie;c130,htot;c130_cm, htot_m;TARIF_2;VC22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0,0022735;0,12400*10^-3;0,12642*10^-4;-5,9455E-08;-0,0016657;0,37474*10^-5;c130 [36-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_B_qsp;Dagnelie;V_C22B;m^3;;Chêne;QUERCUS_SP;Wallonie;c130;c130_cm;TARIF_B;VC22B=a+b*c130+c*c130^2+d*c130^3;0,76071*10^-1;-0,0022424;0,12236^10-4;0,11797*10^-6;;;c130 [36-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
C150toC130_qsp;Dagnelie;C130;cm;;Chêne;QUERCUS_SP;Wallonie;c150;c150_cm;C150toC130;C130=a*c150+b;;;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1_qrb;Dagnelie;V_C22;m^3;;Chne rouge;QUERCUS_RUBRA;Wallonie;c130 ;c130_cm;TARIF_1;VC22=a+b*c130+c*c130^2+d*c130^3;0,11189*10^-1;-0,0023212;0,10179*10^-3;-5,0084E-08;;;c130 [35-269]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_1G_qrb;Dagnelie;V_C22;m^3;;Chne rouge;QUERCUS_RUBRA;Wallonie;c130,hdom;c130_cm, hdom_m;TARIF_1G;VC22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0,0034603;0,63476*10^-3;-5,3464E-06;-2,9736E-08;-0,0013563;0,35175*10^-5;c130 [35-269]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_2_qrb;Dagnelie;V_C22;m^3;;Chne rouge;QUERCUS_RUBRA;Wallonie;c130,htot;c130_cm, htot_m;TARIF_2;VC22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0,02149;0,95069*10^-3;-4,3068E-06;-7,0329E-08;-0,00074299;0,37969*10^-5;c130 [35-269]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
tarif_B_qrb;Dagnelie;V_C22B;m^3;;Chne rouge;QUERCUS_RUBRA;Wallonie;c130 ;c130_cm;TARIF_B;VC22B=a+b*c130+c*c130^2+d*c130^3;0,20549;-0,005751;0,39377*10^-4;0,73612*10^-7;;;c130 [35-269]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
C150toC130_qrb;Dagnelie;C130;cm;;Chne rouge;QUERCUS_RUBRA;Wallonie;c150 ;c150_cm;C150toC130;C130=a*c150+b;;;;;;;c150 [35-265]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. Cubage des arbres et des peuplements forestiers - Tables et Èquations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
