eq_id;method;predicted_variable;output_unit;species_id;species_name_fr;species_code;validity_region;input_variable;input_unit;formula_type;explicit_formula;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;validity_range;remarks;reference_source;colonne1
vallet_bag_psy;vallet;aboveground biomass;kg;40;pin sylvestre;PINUS_SYLVESTRIS;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_bag_ppi;vallet;aboveground biomass;kg;;pin maritime;PINUS_PINASTER;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_bag_aal;vallet;aboveground biomass;kg;44;sapin blanc;ABIES_ALBA;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_bag_pme;vallet;aboveground biomass;kg;38;douglas;PSEUDOTSUGA_MENZIESII;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_pab;vallet;carbon;kg;36;epicea;PICEA_ABIES;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_qro;vallet;carbon;kg;2;chene sessile;QUERCUS_ROBUR;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_fsy;vallet;carbon;kg;6;hetre;FAGUS_SYLVATICA;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_psy;vallet;carbon;kg;40;pin sylvestre;PINUS_SYLVESTRIS;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_ppi;vallet;carbon;kg;50;pin maritime;PINUS_PINASTER;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_aal;vallet;carbon;kg;44;sapin blanc;ABIES_ALBA;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_c_pme;vallet;carbon;kg;38;douglas;PSEUDOTSUGA_MENZIESII;france (nord/est et massifs);vta,den,car;vta_m^3,den_kg.m^-3;vallet_c ;c=vta*den*car;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vc22_qro;vallet;vc22;dm^3;2;chene sessile;QUERCUS_ROBUR;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));;0.5057;;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_qpe;vallet;vc22;dm^3;3;chene pedoncule;QUERcUS_PETRAEA;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-4.438;0.5455;-0.0001397;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_qpu;vallet;vc22;dm^3;4;chene pubescent;QUERcUS_PUBEScENS;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-3.319;0.5664;-0.0001778;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_fsy;vallet;vc22;dm^3;6;hetre;FAGUS_SYLVATICA;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-4.498;0.5107;-0.0001332;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_ppi;vallet;vc22;dm^3;50;pin maritime;PINUS_PINASTER;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-1.712;0.513;-0.0001124;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_psy;vallet;vc22;dm^3;40;pin sylvestre;PINUS_SYLVESTRIS;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-2.247;0.4985;-0.0001212;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pla;vallet;vc22;dm^3;42;in laricio de corse;PINUS_LARIcIO;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));;0.5215;-0.0001271;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pni;vallet;vc22;dm^3;41;pin noir;PINUS_NIGRA;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-8.427;0.5857;-0.0002748;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pha;vallet;vc22;dm^3;51;pin d'Alep;PINUS_HALEPENSIS;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));;0.5258;-0.00023;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pab;vallet;vc22;dm^3;36;epicea;PICEA_ABIES;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-8.666;0.5839;-0.0002679;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_aal;vallet;vc22;dm^3;44;sapin blanc;ABIES_ALBA;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-4.523;0.6011;-0.0002243;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
vallet_vc22_pme;vallet;vc22;dm^3;38;douglas;PSEUDOTSUGA_MENZIESII;france  ;htot,dbh;htot_m,dbh_cm;vallet_vc22 ;vc22= a*(htot/dbh)+((b+c*dbh)*((pi()*dbh^2*htot)/40));-7.15;0.5431;-0.0002951;;;;dbh<7,5 cm;;Aussenac R., P_rot T., Fortin M., de coligny F., Monnet J.-M., & Vallet P., 2024. The Salem simulator version 2.0: a tool for predictingÊ the productivity of pure and mixed forest stands andÊ simulating management operations. Open Research Europe 61(1), DOI:https://doi.org/10.12688/openreseurope.13671.2.;  
algan_vta_aal;algan;v_tot_above;m^3;44;sapin blanc;ABIES_ALBA;france;htot,dbh;htot_m,dbh_cm;algan_vta;vta=a*dbh^2*htot;0.4;;;;;;;;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
algan_vc22_aal;algan;vc22;m^3;44;sapin blanc;ABIES_ALBA;france;htot,dbh;htot_m,dbh_cm;algan_vc22;vc22=a*dbh^2*htot;0.33;;;;;;dbh <15 cm;;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
algan_vc22_pab;algan;vc22;m^3;36;epicea;PICEA_ABIES;france;htot,dbh;htot_m,dbh_cm;algan_vc22;vc22=a*dbh^2*htot;0.33;;;;;;dbh <15 cm;;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
algan_vc22_agl;algan;vc22;m^3;17;aulne glutineux;ALNUS_GLUTINOSA;france;htot,dbh;htot_m,dbh_cm;algan_vc22;vc22=a*dbh^2*htot;0.33;;;;;;;s'applique aux feuillus a_ houppier peu d_velopp_ vo;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
algan_vc22_pav;algan;vc22;m^3;12;merisier;PRUNUS_AVIUM;france;htot,dbh;htot_m,dbh_cm;algan_vc22;vc22=a*dbh^2*htot;0.33;;;;;;;s'applique aux feuillus a_ houppier peu d_velopp_ vo;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
algan_vc22_bsp;algan;vc22;m^3;15;bouleau;BETULA_SP;france;htot,dbh;htot_m,dbh_cm;algan_vc22;vc22=a*dbh^2*htot;0.33;;;;;;;s'applique aux feuillus a_ houppier peu d_velopp_ vo;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
bouvard_vta_qsp;bouvard;v_tot_above;m^3;1;chene;QUERCUS_SP;france;htot,dbh;htot_m,dbh_cm;bouvard_vta;vta=a*dbh^2*htot;0.5;;;;;;;s'applique aux che_nes de taillis-sous-futaie ;Massenet J.-Y., 2006. chapitre IV_: estimation du volume. Lyc_e forestier _ ch‰teau de Mesnières _ 76270 MESNIERES-EN-BRAY.;  
rondeux_vtot_lsp;rondeux;v_tot;m^3;39;meleze;LARIX_SP;wallonie;c130,htot;c130_cm, htot_m;rondeux_vtot;vtot=a*c130^2*htot;4.0678E-06;;;;;;c130<70 cm;"Ils peuvent
être utilis_s pour cuber pr_cis_ment (sans biais) les bois de peuplements de m_-
lèze situ_s en Ardenne. Ils sont destin_s non seulement ˆ estimer plus concrète-
ment le volume des bois pr_lev_s en première _claircie";Pauwels D. & Rondeux J., 2002. Tarifs de cubage pour les petits bois de m_lèze (Larix sp.) en Ardenne Belge 6026(25).;  
rondeux_vc22_lsp;rondeux;vc22;m^3;39;meleze;LARIX_SP;wallonie;c130,htot;c130_cm, htot_m;rondeux_vc22;vc22=a+b*c130^2*htot;_0,008877;4.12411E-06;;;;;c130<70 cm;"Ils peuvent
être utilis_s pour cuber pr_cis_ment (sans biais) les bois de peuplements de m_-
lèze situ_s en Ardenne. Ils sont destin_s non seulement ˆ estimer plus concrète-
ment le volume des bois pr_lev_s en première _claircie";Pauwels D. & Rondeux J., 2002. Tarifs de cubage pour les petits bois de m_lèze (Larix sp.) en Ardenne Belge 6026(25).;  
cniefeb_bag;cniefeb;aboveground biomass;tdm;52;conifere;;france;vc22,feb,den;Vc_m^3,den_t/m^3;cniefeb_bag;bag=vc22*a*den;1.3;;;;;;;;france valley. (2025). bilan carbone forestier – méthodologie de quantification du carbone dans l’écosystème forestier et les produits bois. ;  
cniefeb_bag;cniefeb;aboveground biomass;tdm;53;feuillus;;france;vc22,feb,den;Vc_m^3,den_t/m^3;cniefeb_bag;bag=vc22*b*den;1.56;;;;;;;;france valley. (2025). bilan carbone forestier – méthodologie de quantification du carbone dans l’écosystème forestier et les produits bois. ;  
cniefeb_bbg;cniefeb;belowground biomass;tdm;0;tous;;france;bag;bag_tdm;cniefeb_bbg;bbg=exp(a+b*ln(ab)+c);-1.0587;0.8836;0.284;;;;;;france valley. (2025). bilan carbone forestier – méthodologie de quantification du carbone dans l’écosystème forestier et les produits bois. ;  
cniefeb_btot;cniefeb;total biomass;tdm;0;tous;;france;bag,bbg,btot;bag_tdm,bbg_tdm,btot_tdm;cniefeb_btot;btot=bag+bbg;;;;;;;;;france valley. (2025). bilan carbone forestier – méthodologie de quantification du carbone dans l’écosystème forestier et les produits bois. ;  
cniefeb_c;cniefeb;carbon;teqcO2;0;tous;;france;bag,bbg;bag_tdm,bbg_tdm;cniefeb_c;c=(bag+bbg)*a*b;0.475;3.666666667;;;;;;;france valley. (2025). bilan carbone forestier – méthodologie de quantification du carbone dans l’écosystème forestier et les produits bois. ;  
d_vc22_1_qsp;dagnelie;vc22;m^3;1;chene;QUERCUS_SP;wallonie;c130;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.019546;-0.0029588;0.00011074;-3.7076E-08;;;c130 [36-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;  
d_vc22_1g_qsp;dagnelie;vc22;m^3;1;chene;QUERCUS_SP;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;0.028822;-0.00047161;0.000017362;-1.2337E-08;-0.0027284;0.000003133;c130 [36-298]cm hdom [10-32]m ;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_qsp;dagnelie;vc22;m^3;1;chene;QUERCUS_SP;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.0022735;0.000124;0.000012642;-5.9455E-08;-0.0016657;3.7474E-06;c130 [36-298]cm htot [08-34]m;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_br_qsp;dagnelie;vc22br;m^3;1;chene;QUERCUS_SP;wallonie;c130;c130_cm;d_vc22_br ;vc22_br=a+b*c130+c*c130^2+d*c130^3;0.076071;-0.0022424;-3.999999999;1.1797E-07;;;c130 [36-298]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
c150_c130_qsp;dagnelie;c130;cm;1;chene;QUERCUS_SP;wallonie;c150;c150_cm;c150_c130;c130=a*c150+b;1.008913;0.1959707;;;;;c150 [35-295]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1_qrb;dagnelie;vc22;m^3;5;chene rouge;QUERCUS_RUBRA;wallonie;c130 ;c130_cm;d_vc22_1;vc22=a+b*c130+c*c130^2+d*c130^3;0.011189;-0.0023212;0.00010179;-5.0084E-08;;;c130 [35-269]cm;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_1g_qrb;dagnelie;vc22;m^3;5;chene rouge;QUERCUS_RUBRA;wallonie;c130,hdom;c130_cm, hdom_m;d_vc22_1g;vc22=a+b*c130+c*c130^2+d*c130^3+e*hdom+f*hdom*c130^2;-0.0034603;0.00063476;-5.3464E-06;-2.9736E-08;-0.0013563;3.5175E-06;c130 [35-269]cm hdom [12-30]m ;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
d_vc22_2_qrb;dagnelie;vc22;m^3;5;chene rouge;QUERCUS_RUBRA;wallonie;c130,htot;c130_cm, htot_m;d_vc22_2;vc22=a+b*c130+c*c130^2+d*c130^3+e*htot+f*htot*c130^2;-0.02149;0.00095069;-4.3068E-06;-7.0329E-08;-0.00074299;3.7969E-06;c130 [35-269]cm htot [10-30]m ;;Dagnelie P., Rondeux J. & Palm R., 2013. cubage des arbres et des peuplements forestiers - Tables et équations, Presses agronomiques de Gembloux, Gembloux, Belgium.;
